"Biomass_SmallSize_Herbivores_Mean","Biomass_SmallSize_Herbivores_Min","Biomass_SmallSize_Herbivores_Max","Biomass_MediumSize_Herbivores_Mean","Biomass_MediumSize_Herbivores_Min","Biomass_MediumSize_Herbivores_Max","Biomass_MediumLarge_Herbivores_Mean","Biomass_MediumLarge_Herbivores_Min","Biomass_MediumLarge_Herbivores_Max","Biomass_Large_Herbivores_Mean","Biomass_Large_Herbivores_Min","Biomass_Large_Herbivores_Max","Phase","SI","Region","MacroRegion"
13.6872447899734,10.6584097510158,17.5767937541339,168.004101161579,130.826662159426,215.746374181086,153.483080079701,119.51898153643,197.098867208568,427.461236343184,332.868819074456,548.934289141609,"GI-13","Interstadial","Eurosiberian","EuroSiberian"
12.6602087682242,9.93410120878434,16.1344124331339,155.39774638805,121.936136164714,198.041863077115,141.966324560991,111.396886279453,180.924601956976,395.386257458646,310.248209177643,503.887816150593,"GS-13","Stadial","Eurosiberian","EuroSiberian"
12.3913828703897,9.74217250107163,15.7609988350849,152.098042610725,119.580307031739,193.458397458987,138.951822560189,109.244677440678,176.737296911172,386.990656122313,304.254155301386,492.225875362748,"GI-12","Interstadial","Eurosiberian","EuroSiberian"
6.94842708526805,5.59345380274225,8.63163273747188,85.2884758664051,68.6568548263943,105.948985487432,77.9167763213676,62.7226685210814,96.79154563192,217.003734358938,174.687069212074,269.571302204145,"GS-12","Stadial","Eurosiberian","EuroSiberian"
15.5035005079864,11.9079616635925,20.1846911160294,190.297733961065,146.164288478564,247.757013205228,173.849817585354,133.530937865453,226.342745416158,484.184041162598,371.893108741308,630.380558838532,"GI-11","Interstadial","Eurosiberian","EuroSiberian"
12.9826594993777,10.1630033965143,16.5846099918249,159.355668240665,124.745796318645,203.567813504217,145.5821531774,113.963700371615,185.972930456431,405.456595960928,317.396968016265,517.947768170862,"GS-11","Stadial","Eurosiberian","EuroSiberian"
15.4791851143874,11.8914745191616,20.149323905911,189.99927463571,145.961917006194,247.322898345903,173.577154857378,133.346057873329,225.946152206487,483.424656175374,371.378204883714,629.276018692196,"GI-10","Interstadial","Eurosiberian","EuroSiberian"
12.0223426324189,9.47702142233184,15.2512815926203,147.568257805667,116.325709825416,187.201872608233,134.813558558468,106.271383335406,171.021539390673,375.465298111699,295.973320869399,476.307086300908,"GS-10","Stadial","Eurosiberian","EuroSiberian"
14.4619495334288,11.1960080109996,18.6805854463451,177.513215383397,137.425412590248,229.294866515745,162.170297412513,125.547385211086,209.476328946599,451.655751201351,349.658349794105,583.406395738518,"GI-9","Interstadial","Eurosiberian","EuroSiberian"
11.1409616834418,8.79479742476027,14.1130058189261,136.749746382366,107.951750620213,173.230105377651,162.728106201836,128.459352973728,206.138641796302,347.939218471836,274.667037688246,440.758020218648,"GS-9","Stadial","Eurosiberian","EuroSiberian"
15.6264114694009,11.905551704599,20.5101570653545,191.806404691531,146.134707434259,251.751945356592,228.243882117068,173.895929025305,299.5772817447,488.022627549602,371.817844210958,640.545064494778,"GI-8","Interstadial","Eurosiberian","EuroSiberian"
12.8243080180616,9.99258617703603,16.4584896470615,157.411982809861,122.654009971558,202.019749194322,187.315549269844,145.954601662841,240.397456459203,400.511179917098,312.074731404722,514.008950729673,"GS-8","Stadial","Eurosiberian","EuroSiberian"
14.5335017327617,11.170115340976,18.9096232374025,178.391482932455,137.107592983692,232.106191132868,212.280526641466,163.153932949491,276.199422082756,453.890371247915,348.849705475229,590.559389554075,"GI-7","Interstadial","Eurosiberian","EuroSiberian"
8.44171852822086,6.7940726242146,10.4889387634336,103.617883318031,83.3938518651919,128.746490336783,123.30218056741,99.2361883067379,153.204470990809,214.532255505669,172.660071437997,266.558957546112,"GS-7","Stadial","Eurosiberian","EuroSiberian"
13.6821722401096,10.7023390721931,17.491675039003,167.941838142722,131.365872660318,214.70158441901,199.845762028736,156.321457575453,255.488460895196,347.709682699691,271.982171955682,444.521869112876,"GI-6","Interstadial","Eurosiberian","EuroSiberian"
4.88086713047826,3.85244864085368,6.18382389131709,59.9102089374327,47.2868850604539,75.9033531250406,71.2913559289926,56.2699782459254,90.3227189458233,124.039131466477,97.9035836576602,157.15161345633,"GS-6","Stadial","Eurosiberian","EuroSiberian"
14.6175694346518,11.357672564429,18.8131269822013,179.423372031356,139.409764328334,230.92174774274,213.50844379171,165.893447961227,274.789969890867,371.481248793484,288.636384214451,478.104375443659,"GI-5","Interstadial","Eurosiberian","EuroSiberian"
10.855516618944,8.65034764056614,13.6228329728095,133.246050625636,106.178701585955,167.213478241271,158.558813093197,126.349477678302,198.979035540886,275.874924893066,219.834217882874,346.201673778119,"GS-5","Stadial","Eurosiberian","EuroSiberian"
55.9335247650465,44.4822169077527,70.3328073582772,179.929494263793,143.09240881143,226.249758285138,235.719156841619,187.460216533571,296.401668202348,125.15502792726,99.5319555265218,157.374392300564,"GI-13","Interstadial","ThermoMediterranean","Mediterranean"
51.5015539724792,41.1616857070794,64.4388104135395,165.672530007593,132.410773743124,207.289682124844,217.041620913766,173.466590739795,271.562754579854,115.238194853597,92.1020433781406,144.186177266371,"GS-13","Stadial","ThermoMediterranean","Mediterranean"
