"Biomass","Phase","Region","Size"
181.322745561894,"GI-8","MesoMediterranean","Medium"
175.930030277881,"GS-8","MesoMediterranean","Medium"
179.970197401903,"GI-7","MesoMediterranean","Medium"
176.576053733035,"GS-7","MesoMediterranean","Medium"
209.291920804876,"GI-6","MesoMediterranean","Medium"
174.722602408017,"GS-6","MesoMediterranean","Medium"
225.806272793258,"GI-5","MesoMediterranean","Medium"
207.623342092262,"GS-5","MesoMediterranean","Medium"
134.822612505866,"GI-13","SubMediterranean","Medium"
110.909737477034,"GS-13","SubMediterranean","Medium"
118.415709886307,"GI-12","SubMediterranean","Medium"
63.5304849536279,"GS-12","SubMediterranean","Medium"
130.388068841871,"GI-11","SubMediterranean","Medium"
97.5228906280831,"GS-11","SubMediterranean","Medium"
132.07860853174,"GI-10","SubMediterranean","Medium"
84.9304553031005,"GS-10","SubMediterranean","Medium"
112.772996273194,"GI-9","SubMediterranean","Medium"
78.3479040374821,"GS-9","SubMediterranean","Medium"
126.189174236607,"GI-8","SubMediterranean","Medium"
90.3745629995291,"GS-8","SubMediterranean","Medium"
122.029943309824,"GI-7","SubMediterranean","Medium"
60.0722286490573,"GS-7","SubMediterranean","Medium"
114.66346457162,"GI-6","SubMediterranean","Medium"
61.7756249247316,"GS-6","SubMediterranean","Medium"
141.337910814537,"GI-5","SubMediterranean","Medium"
111.264972919259,"GS-5","SubMediterranean","Medium"
153.483080079701,"GI-13","Eurosiberian","Medium-Large"
141.966324560991,"GS-13","Eurosiberian","Medium-Large"
138.951822560189,"GI-12","Eurosiberian","Medium-Large"
77.9167763213676,"GS-12","Eurosiberian","Medium-Large"
173.849817585354,"GI-11","Eurosiberian","Medium-Large"
145.5821531774,"GS-11","Eurosiberian","Medium-Large"
173.577154857378,"GI-10","Eurosiberian","Medium-Large"
134.813558558468,"GS-10","Eurosiberian","Medium-Large"
162.170297412513,"GI-9","Eurosiberian","Medium-Large"
162.728106201836,"GS-9","Eurosiberian","Medium-Large"
228.243882117068,"GI-8","Eurosiberian","Medium-Large"
187.315549269844,"GS-8","Eurosiberian","Medium-Large"
212.280526641466,"GI-7","Eurosiberian","Medium-Large"
123.30218056741,"GS-7","Eurosiberian","Medium-Large"
199.845762028736,"GI-6","Eurosiberian","Medium-Large"
71.2913559289926,"GS-6","Eurosiberian","Medium-Large"
